name,address.street,address.city,address.state,address.pinCode,description,startDate,endDate,Bhktype,owner,price
,,Tacoma,New York,50321-7325,,NotADate,,4BHK,,NotANumber
fragrant shaker Apartments,675 Vinnie Greens,South Electafield,Maine,67286,A damno damno tribuo excepturi.,2024-06-12T06:05:25.334Z,2025-05-19T02:19:32.008Z,1BHK,Shirley Dickinson,41650
turbulent insurgence Apartments,6516 Lowe Forest,Kleinburgh,Wyoming,25176,Tametsi censura textilis cedo cribro.,2024-06-11T20:58:14.570Z,2024-07-20T11:21:27.885Z,3BHK,Priscilla O'Kon,20460
quarterly sunshine Apartments,38162 Hazel Grove,Fort Daphnee,North Dakota,88836,Denuncio soleo decumbo tertius voluptas doloribus pecto color cinis.,2024-06-11T20:29:20.591Z,2024-10-26T06:57:16.627Z,3BHK,Lillian Weimann,46137
mealy stone Apartments,41120 Madelyn Points,Mosciskifield,Arkansas,37026,Vix solutio eligendi ara aurum arx celer claudeo abscido.,2024-06-11T13:02:12.970Z,2025-04-05T15:34:36.622Z,4BHK,Derrick Ledner,88257
frozen reason Apartments,6878 Will Way,Port Fritzberg,Delaware,51687-2419,Canonicus annus surgo aggredior.,2024-06-12T03:54:32.823Z,2024-12-21T19:11:38.404Z,2BHK,Maryann Nienow,30653
bronze variant Apartments,772 Beier Circles,D'Amorechester,Alabama,56082,Demergo delectus defendo attero vilicus ascit ambitus convoco supellex.,2024-06-11T19:42:53.601Z,2024-06-19T15:57:37.854Z,3BHK,Tricia Larkin,49925
minty sherry Apartments,2432 Veum Stravenue,South Gussiehaven,Hawaii,52799,Comitatus speciosus quam omnis eius amoveo ager vulticulus apparatus.,2024-06-11T19:37:52.620Z,2024-08-11T14:19:25.885Z,1BHK,Enrique Ondricka,38284
made-up apprehension Apartments,364 Bria Shores,Lake Brice,North Dakota,61952-2890,Celer carmen solitudo ascit maiores voluptas vesper amitto tunc vesper.,2024-06-11T20:24:35.022Z,2024-08-15T03:17:56.040Z,2BHK,Austin Witting DDS,77006
belated trailer Apartments,8588 Muller Ways,Weimannview,Minnesota,40810,Magnam tui carpo stabilis statim traho vomica condico defetiscor sodalitas.,2024-06-12T01:54:30.148Z,2024-12-30T11:37:38.279Z,2BHK,Bert Keeling,15988
